batch,run,h_ip,N_e,has_full_raster,n_avalanches,branching_ratio_exp,branching_ratio_complex,dfa,branching_parameter,susceptibility,fano_factor,activity,cv,av_threshold_used
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-014,0.02,200,False,538990,0.9223564777360019,0.9523740392590737,0.12053755843660682,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-015,0.02,200,False,507378,0.9553629165026355,0.9698856990828713,0.10351585990397862,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-016,0.02,200,False,498773,0.9361162478764011,0.9541740889740156,0.14881335518216798,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-017,0.02,200,False,518458,0.8728932908749135,0.9032039784028232,0.18999882594630785,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-018,0.02,200,False,522056,0.8407166159932377,0.8708837780270715,0.40415392273417367,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-019,0.02,200,False,511809,0.9346488095609797,0.8356940507340922,0.14560019601531932,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-020,0.02,200,False,510568,0.9056757981949951,0.8187307530790016,0.28385556381146404,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-021,0.02,200,False,517415,0.8865392354501815,0.9534556660010713,0.1932497864083059,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-022,0.02,200,False,518025,0.8993447402391472,0.9227774346713652,0.12392469358556325,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-023,0.02,200,False,503850,0.9097796487581534,0.8187307530779819,0.28682412996986734,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-024,0.02,200,False,504764,0.8437848173644198,0.8187307530779819,0.19339856066364938,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-025,0.02,200,False,522561,0.8231604351003766,0.8187307530779819,0.18093637092069323,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-026,0.02,200,False,512381,0.8213847605636355,0.8187308140904942,0.39174863190821696,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-027,0.02,200,False,473114,0.8984179844877974,0.9101395277535942,0.12541313401575932,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-028,0.02,200,False,453204,0.850851964729345,0.8421541764780835,0.17681570224260804,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-029,0.02,200,False,528122,0.9256895921202685,0.984978198466381,0.22217030140234414,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-030,0.02,200,False,516145,0.9124162690498158,0.9288314589899964,0.14193012125800958,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-031,0.02,200,False,519865,0.8574455754271377,0.8418360934795461,0.18782589502008692,,,,,,2.0
